accuracy,training_time,plain_inference_time,datetime,y_hat_sample,y_sample,inference_size,activation,time_taken,is_plaintext,is_cyphertext,session
0.6,547.7961556911469,,2021-10-22 11:14:53.658491,"[0, 3, 6, 2, 3]","[0, 1, 2, 2, 3]",5,Sigmoid,2932.218453407288,0.0,1.0,sKUrDv
0.6204,554.7505304813385,,2021-10-22 11:47:45.988350,"[4, 4, 2, 3, 7, 9, 8, 4, 2, 1, 7, 7, 9, 8, 3, 0, 9, 2, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,44.56193661689758,1.0,0.0,xBkPzY
0.6,554.7505304813385,,2021-10-22 12:36:45.569380,"[0, 1, 6, 6, 3]","[0, 1, 2, 2, 3]",5,Sigmoid,2939.0491604805,0.0,1.0,xBkPzY
0.6571,574.5119829177856,,2021-10-22 12:52:17.535506,"[4, 4, 2, 1, 7, 7, 8, 1, 4, 1, 7, 7, 7, 8, 1, 1, 9, 6, 1, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,ReLU,45.611823081970215,1.0,0.0,aRk6yV
0.4,574.5119829177856,,2021-10-22 13:39:39.179296,"[0, 1, 5, 6, 1]","[0, 1, 2, 2, 3]",5,ReLU,2841.1145136356354,0.0,1.0,aRk6yV
0.2378,548.3137140274048,,2021-10-22 14:06:55.659705,"[1, 7, 7, 1, 7, 7, 7, 5, 1, 1, 7, 7, 7, 7, 5, 5, 7, 7, 7, 7]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,ReLU,44.27522373199463,1.0,0.0,qcVbAr
0.2,548.3137140274048,,2021-10-22 14:55:34.137144,"[3, 1, 5, 7, 1]","[0, 1, 2, 2, 3]",5,ReLU,2917.9437477588654,0.0,1.0,qcVbAr
0.6492,893.6662440299988,,2022-07-02 15:16:07.574566,"[4, 4, 2, 1, 7, 9, 8, 4, 4, 3, 7, 7, 9, 8, 3, 0, 9, 2, 3, 8]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,72.58134603500366,1.0,0.0,8B9va0
0.6492,893.6662440299988,,2022-07-02 15:25:21.416003,"[4, 4, 2, 1, 7, 9, 8, 4, 4, 3, 7, 7, 9, 8, 3, 0, 9, 2, 3, 8]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,72.58134603500366,1.0,0.0,8B9va0
0.642,910.5827589035034,,2022-07-02 15:58:03.404068,"[4, 4, 2, 1, 7, 7, 8, 5, 4, 1, 7, 7, 7, 8, 1, 0, 9, 2, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,77.18935823440552,1.0,0.0,i0R8gu
